date,timestamp,block_hash,current_era_index,block_number
2020-07-22,1595417778000,0x10f4161689caea5aabb7d844a309f98f3616f745128240940e65e7a5139473b2,51,815792
2020-07-23,1595504178000,0xa660079e8a8b1028636d6fab2619e23f4cd692e711355d20d0f68895a8ed5a42,52,829986
2020-07-24,1595590578000,0x16e9fbee06e0bad72cc562407dfaa1d93a6cba4357e6d770ab781c0790fbf7ff,53,844290
2020-07-25,1595676978000,0xbe128ed1bdc416b546c9319145e52abc43928d2ac43e57ea11a122796d6e428f,54,858652
2020-07-26,1595763378000,0xaf2900bb42c6d5026d8affa184c045c50a1fffc959bf63fdbd2b288d86a086d4,55,873002
2020-07-27,1595849778000,0x014c8cee038d576a67eab8c75b2059b76e451339f756a812e394dc616e1e8f7b,56,887336
2020-07-28,1595936178000,0x9e4f517b467e9621d4e820248ebcb2b067f7da8bbb70b798f980f27d3611269a,57,901673
2020-07-29,1596022578000,0x7187092e1cb5a8d75dd3002aedd3499c01b94148372a0b46db1a1276f20f2414,58,916001
2020-07-30,1596108978000,0xacec519c68ed5aa65d8aed61ce5be4a438ccc44326df8cbab64de6d51c6f6445,59,930336
2020-07-31,1596195378000,0x9de2f3d689a6a879c41e83d6ece14b0c58091346b6cac1ea1f983060db617a6b,60,944687
2020-08-01,1596281778000,0x93989a41f775001fe67e3e842fc6200833364701a7bc19f9a6e2b4bb4fc2de50,61,959036
2020-08-02,1596368184000,0xf772d0871859838ad7a2a7f804ef6abdfe416e6f600daf7105630a57a25ae1bb,62,973361
2020-08-03,1596454578010,0xcda3babd21fe4964d7dec9ddf8b33b8598d0673f4f6adda246b606abd120aff1,63,987681
2020-08-04,1596540978000,0xab8ceef7767c77c5bb4f17735ca6bb4541ff5852c57f9195462a02b963651f80,64,1002020
2020-08-05,1596627378000,0x474b638dfd8732fb00f78ee37687daeca856bb99d357d379903f1f4d6339533c,65,1016352
2020-08-06,1596713778000,0x822a605f75a1d7c5a839f2c0638979e6b892a589ff4b06ca331338b1ce286fb3,66,1030609
2020-08-07,1596800184000,0x43c1c38668ec7221442fd0abcf2d891bc8931b42bcd11f5a288493afa96049df,67,1044874
2020-08-08,1596886578000,0x34d78c32bee403ca594981f7219feaa3b0a0868d3bb5678191c1ca8683f3efe1,68,1059101
2020-08-09,1596972978000,0xaf408146c8f2c01fcaee6050dccf463e5f98b538af596b6e5f85f46c526826b7,69,1073450
2020-08-10,1597059378000,0xb3703855cc4f8bbafa1227e00fc2bc175dfd5d5985152fe60cd0aa1e51f69417,70,1087785
2020-08-11,1597145778000,0xa3e8472ba79241a22d370132de3d11d9821f45a55515b41eeeaaed63307f6ad8,71,1101564
2020-08-12,1597232178000,0x08d9ef832790609408749dadd4684f9112a797bf766d79ad599dcf409d1a5e18,72,1115889
2020-08-13,1597318578000,0xe3aa247659f0923b1dcf025df2af894287be4851970e11157b061e01c923ae3d,73,1130251
2020-08-14,1597404978000,0x6984e06f9be7eb1bed59ff02a2abf6e2b3dd5374aaf63f5f8d5c7599b90f5c72,74,1144624
2020-08-15,1597491378000,0xa96f800334baed33b72c5cb6796b86f199ce74dce168d89dafbc74a03d52168b,75,1159009
2020-08-16,1597577778000,0x9e5e82b85eec222e26b4fa36bd28cb14ee051bf474e7fbeb5293e11dcbaaa73d,76,1173354
2020-08-17,1597664178000,0x5c40ba97dd2379ee617922e0639279bda5eb09b1f185ffb46a26b9a11772e22f,77,1187722
2020-08-18,1597750578000,0xd0199be0bd2e091319d832ce4c5edd073e01fc3c86021423e64aa8994c490aaf,78,1202102
2020-08-19,1597836978000,0x409bfa0e2421300aad0324d8314f15a5427df67a4e534c4c58cee6d2a41460c5,79,1216476
2020-08-20,1597923378000,0x30c0cf09d1d37491335e1102f0daa45dfe5b5602e4824aa6ef70e609b089a39d,80,1230847
2020-08-21,1598009778006,0x705dd3c076f14958224e2932c03295a19ece240f2587b7059edddacbebc09fd2,81,1245214
2020-08-22,1598096178000,0xf051aa6a6b77ed4cd904b00b34cd1f92d0159dab0de025bf8e6eb559c7342a1e,82,1259579
2020-08-23,1598182578000,0xff38a3dfe978847ee093b4f8defe95825bfe7118b47174827591d5f076a503ba,83,1273955
2020-08-24,1598268978000,0xdee61d11960bef7f12863c22b1f3d93e04e650a3760196ca1458ab0547d2b867,84,1288333
2020-08-25,1598355378000,0xbb10a10f6c83fcb9d8f5a471342164c9674ca20023893b03a565f7a95cf65faa,85,1302705
2020-08-26,1598441778000,0x89085ca0f68953479eb9cc1285cb902a72109032720b2c6ab63aa65289f27a4e,86,1317075
2020-08-27,1598528178000,0x8530f4f7255c9ddd96a507be5a689353bbe716eaf0d506f78e165866795606e0,87,1331452
2020-08-28,1598614578000,0x8515ea7a14c4a2c3a383faaa7de71a21af837c853d3611ebbad71920f17bae21,88,1345806
2020-08-29,1598700984000,0x096075c0cb7bfed88bc86d52c43fccb78ea3b4f79b5a77a183772c9310d69dbd,89,1360180
2020-08-30,1598787378002,0x660dcf47a30b3ce58716de04d3c5dfb8721178706f55fa00aaa7c8f78d8334bc,90,1374552
2020-08-31,1598873778003,0x771f7f5a979905271ded8e934dd682eb182d84f4a275c6a163d95145d21e406f,91,1388916
2020-09-01,1598960178000,0xe845406ddb329d79b536b5e463d0154429d3283ebc6bbf8d70809a0cc7a08a98,92,1403288
2020-09-02,1599046578000,0xbb67e5e696478d75ecbf50503a6c7a7fc40b13af49af97f9998a75ee0595e829,93,1417661
